@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
12.020816,1.916065,2.236509,1.11829,0.854736,1.339956,0.79597,0.722699,0.192964,1.138823,0.526057,0.142203,0.37158,0.274117,0.141106,0.185425,0.131831,0.296579,0.241375,0.185647,0.169177,0.132316,0.199247,0.054192,0.18105,0.129128,0.032163,0.130936,0.176762,0.156799,0.146498,0.132326,0.214316,0.132326,0.146498,0.156799,0.176762,0.130936,0.032163,0.129128,0.18105,0.054192,0.199247,0.132316,0.169177,0.185647,0.241375,0.296579,0.131831,0.185425,0.141106,0.274117,0.37158,0.142203,0.526057,1.138823,0.192964,0.722699,0.79597,1.339956,0.854736,1.11829,2.236509,1.916065,0.384051,standing
13.390311,1.769479,0.916809,1.525902,0.782262,3.088746,1.953511,0.930689,0.207431,0.201583,0.218983,0.49371,0.28239,0.265112,0.069336,0.180732,0.183343,0.048035,0.138689,0.037673,0.082945,0.078555,0.095785,0.020605,0.096934,0.093906,0.11653,0.071293,0.04332,0.090014,0.102668,0.071465,0.006021,0.071465,0.102668,0.090014,0.04332,0.071293,0.11653,0.093906,0.096934,0.020605,0.095785,0.078555,0.082945,0.037673,0.138689,0.048035,0.183343,0.180732,0.069336,0.265112,0.28239,0.49371,0.218983,0.201583,0.207431,0.930689,1.953511,3.088746,0.782262,1.525902,0.916809,1.769479,0.442137,standing
7.407041,0.837731,0.573708,0.515647,0.22616,0.342462,0.70375,1.506501,0.198651,0.279072,0.068354,0.093615,0.13377,0.073951,0.128543,0.139025,0.216214,0.061499,0.035272,0.046997,0.051098,0.015626,0.025419,0.033478,0.047952,0.017079,0.068602,0.039254,0.041375,0.013616,0.031871,0.060143,0.013176,0.060143,0.031871,0.013616,0.041375,0.039254,0.068602,0.017079,0.047952,0.033478,0.025419,0.015626,0.051098,0.046997,0.035272,0.061499,0.216214,0.139025,0.128543,0.073951,0.13377,0.093615,0.068354,0.279072,0.198651,1.506501,0.70375,0.342462,0.22616,0.515647,0.573708,0.837731,0.238156,standing
8.135793,1.276608,0.136196,1.138724,0.361703,1.164106,0.666437,0.155256,0.362765,0.341958,0.244085,0.146858,0.250394,0.091606,0.180012,0.115823,0.084346,0.084124,0.168945,0.110288,0.072614,0.13211,0.075654,0.034669,0.028487,0.012357,0.025877,0.013655,0.033883,0.104521,0.071088,0.082647,0.014218,0.082647,0.071088,0.104521,0.033883,0.013655,0.025877,0.012357,0.028487,0.034669,0.075654,0.13211,0.072614,0.110288,0.168945,0.084124,0.084346,0.115823,0.180012,0.091606,0.250394,0.146858,0.244085,0.341958,0.362765,0.155256,0.666437,1.164106,0.361703,1.138724,0.136196,1.276608,0.248713,standing
9.018771,0.26767,0.763887,0.472543,0.701236,0.896612,1.206643,0.340234,0.349568,0.429506,0.255957,0.238026,0.048528,0.137257,0.147374,0.095949,0.03043,0.108759,0.011802,0.116812,0.079333,0.092227,0.064487,0.04789,0.098978,0.070556,0.125014,0.043906,0.097833,0.061,0.078699,0.040647,0.020652,0.040647,0.078699,0.061,0.097833,0.043906,0.125014,0.070556,0.098978,0.04789,0.064487,0.092227,0.079333,0.116812,0.011802,0.108759,0.03043,0.095949,0.147374,0.137257,0.048528,0.238026,0.255957,0.429506,0.349568,0.340234,1.206643,0.896612,0.701236,0.472543,0.763887,0.26767,0.217997,standing
7.173808,0.853204,1.439767,0.216164,0.768811,0.928928,0.278941,0.226315,0.081021,0.393798,0.142056,0.085052,0.055938,0.098114,0.073671,0.164789,0.054678,0.098457,0.067213,0.037508,0.043647,0.072906,0.030616,0.038521,0.012249,0.029471,0.054949,0.110909,0.065205,0.008194,0.05125,0.018221,0.025826,0.018221,0.05125,0.008194,0.065205,0.110909,0.054949,0.029471,0.012249,0.038521,0.030616,0.072906,0.043647,0.037508,0.067213,0.098457,0.054678,0.164789,0.073671,0.098114,0.055938,0.085052,0.142056,0.393798,0.081021,0.226315,0.278941,0.928928,0.768811,0.216164,1.439767,0.853204,0.220228,standing
8.029435,0.767381,1.373581,0.4417,1.180223,0.624264,0.601077,0.572548,0.390649,0.445097,0.350062,0.206216,0.151132,0.248516,0.104708,0.079461,0.187213,0.158086,0.151943,0.087859,0.119119,0.12057,0.172277,0.087798,0.042838,0.102417,0.090342,0.102557,0.098689,0.086139,0.062157,0.120379,0.037547,0.120379,0.062157,0.086139,0.098689,0.102557,0.090342,0.102417,0.042838,0.087798,0.172277,0.12057,0.119119,0.087859,0.151943,0.158086,0.187213,0.079461,0.104708,0.248516,0.151132,0.206216,0.350062,0.445097,0.390649,0.572548,0.601077,0.624264,1.180223,0.4417,1.373581,0.767381,0.290656,standing
7.597519,2.339417,0.893441,0.663953,0.670745,0.755761,1.032666,0.927452,0.281427,0.409242,0.12619,0.052803,0.080514,0.296514,0.188921,0.13089,0.217453,0.055368,0.029939,0.106828,0.211648,0.141048,0.096071,0.080183,0.147976,0.126851,0.084575,0.094807,0.05838,0.044308,0.104699,0.119419,0.026883,0.119419,0.104699,0.044308,0.05838,0.094807,0.084575,0.126851,0.147976,0.080183,0.096071,0.141048,0.211648,0.106828,0.029939,0.055368,0.217453,0.13089,0.188921,0.296514,0.080514,0.052803,0.12619,0.409242,0.281427,0.927452,1.032666,0.755761,0.670745,0.663953,0.893441,2.339417,0.29423,standing
5.168153,0.302402,0.765721,0.942404,0.184677,0.598927,0.732246,0.481264,0.380546,0.142594,0.187582,0.093256,0.195836,0.129292,0.028138,0.078304,0.054368,0.021669,0.147746,0.128847,0.171288,0.032158,0.04893,0.101656,0.022227,0.020599,0.066328,0.03424,0.090154,0.027083,0.104831,0.0603,0.019967,0.0603,0.104831,0.027083,0.090154,0.03424,0.066328,0.020599,0.022227,0.101656,0.04893,0.032158,0.171288,0.128847,0.147746,0.021669,0.054368,0.078304,0.028138,0.129292,0.195836,0.093256,0.187582,0.142594,0.380546,0.481264,0.732246,0.598927,0.184677,0.942404,0.765721,0.302402,0.160533,standing
5.999475,0.544387,0.581875,0.48439,0.479152,0.769912,0.387022,1.037282,0.562326,0.14094,0.255283,0.118727,0.088753,0.099559,0.1481,0.112976,0.099682,0.069523,0.10202,0.084165,0.068408,0.180136,0.021134,0.074957,0.060188,0.025497,0.041395,0.022147,0.033192,0.078443,0.047443,0.089616,0.113928,0.089616,0.047443,0.078443,0.033192,0.022147,0.041395,0.025497,0.060188,0.074957,0.021134,0.180136,0.068408,0.084165,0.10202,0.069523,0.099682,0.112976,0.1481,0.099559,0.088753,0.118727,0.255283,0.14094,0.562326,1.037282,0.387022,0.769912,0.479152,0.48439,0.581875,0.544387,0.184915,standing
